,Cocktail Name,Ingredients
491,Cuba Liberation,"2 oz Pink Pigeon Rum, 1.5 oz Fresh lime juice, .25 oz Simple syrup,  oz Mexican Coca Cola, 1 float Luxardo Fernet"
492,Off the Radar,"1.5 oz Junipero Gin, .5 oz Lemon Juice, .25 oz Luxardo Maraschino Liqueur, .25 oz Liqueur de Violette, 3-4 oz Tonic Water"
493,Maraschino Side Car,".75 oz Luxardo Maraschino Liqueur, .25 oz Dry Curacao, .5 oz Bourbon Rye, .25 oz Lemon Juice"
494,The Royal Buck,"1 oz No.3 London Dry Gin, 1 oz King's Ginger Liqueur, .75 oz Lemon juice, .5 oz Simple syrup, 2 oz Club soda"
495,Rx Hot Toddy,"1.5 oz Old Potrero Straight Rye Whiskey, .5 oz Lemon Juice, 2 oz Cold-pressed Apple Cider, 2 oz Hot Water, .5 oz Honey-Ginger Syrup*, 1 tsp Ghost-Pepper-Infused Campari**, 3 dash Cinnamon Tincture***"
496,Spanish G&T,"1.5 oz Junipero Gin, 2 oz East Imperial Superior Tonic ,   Assorted Complementing Botanicals*"
497,Chilcano,"2 oz BarSol Selecto Acholado Pisco, .5 oz Fresh Lime Juice, 2-3 drops Angostura Bitters,  top Ginger Ale"
498,Kir Royale,"1 part Briottet Creme de Cassis, 4 part Chilled Dry Champagne"
499,Kir,"1 part Briottet Creme de Cassis, 4 part Chilled Dry White Wine"
500,Citrus Agave Caipirinha,"1.5 oz Ypioca Brasilizar Cachaca Prata Classica, 1.5 oz Citrus Agave Blend, 1 splash Soda Water"
501,Bermuda Highball,"1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda"
502,Lux Cherry Sparkler,"1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco"
503,French Maid,"1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig"
504,Karlsson's Mule,"1.5 oz Karlsson's Gold Vodka, .25 oz Lime juice , 3 oz Ginger beer"
505,Creek Ran Dry,"1 oz Pear Brandy, 1 oz Dry Vermouth, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .5 oz Dolin Genepy"
506,Mandrake,"1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt"
507,Redondo Beach,"1.5 oz Chinaco Blanco Tequila, .25 oz F. Meyer Mirabelle (Yellow Plum), .5 oz Fino Sherry, .75 oz The Genuine Curacao Liqueur Blue, 2 oz Horchata, .5 oz Simple Syrup (2:1), .5 oz Lime Juice"
508,The Tahoe Toddy,"2 oz Hot Water, 2 oz Glenrothes, 1 oz King's Ginger Liqueur, 1 dash Honey"
509,Pink Ribbon,"1 cube Brown Sugar, soaked in Peychaud's Bitters, .75 oz Pink Pigeon Rum,  fill Champagne"
510,Short Round II,"2 oz Avuá Prata Cachaça, 2 oz Bacardi Superior Rum, 3 oz Chateau de Montifaud Pineau des Charentes Rose, 2 oz Lime Juice, 1 oz Cannella Cinnamon Cordial, 2 oz Simple Syrup"
511,A Gift from Zara,"1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water"
512,Gin Made Me Do It,"1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe"
513,Clearly Bitter,".75 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, .75 oz Dry Vermouth, .5 oz Curacao, 2 dash Rhubarb Bitters"
514,Short Round,"5 oz Bacardi Superior Rum, 4 oz Chateau de Montifaud Pineau des Charentes Blanc, 3.5 oz Lemon Juice, 3.5 oz Velvet Falernum"
515,Ypioca Yellow Card,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 oz King's Ginger Liqueur, 1 oz Pineapple Juice, .5 oz Simple Syrup, 2 oz Coconut Water, 1 fill Soda Water"
516,Buzzard's Bay,"2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea"
517,Kick the Pigeon," oz Pink Pigeon Rum,  oz St. Germaine Elderflower Liqueur,  oz Lemon ,  oz Vanilla Syrup,  oz Prosecco"
518,Croatia Firing Squad,"1 oz Luxardo Bitter Bianco, 1 oz Lillet Blanc, 1 oz No.3 London Dry Gin, .5 oz Rose Wine"
519,The King's Ginger Summer Cup,"1 oz King's Ginger Liqueur, 1.5 oz Cranberry Juice, 1.5 oz Fever-Tree Lemonade"
520,Pink Pigeon Punch,"7 oz Pink Pigeon Rum, 1 oz Agave Syrup, 7 oz Watermelon, 2  Lemon Juice,  top Ginger Beer"
521,Kentucky Garrigue,"1.5 oz Wild Turkey 101 Bourbon, .75 oz Strawberry, Black Pepper Balsamic Shrub*, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fever-Tree Tonic Water"
522,Bitter Valencia,".75 oz Luxardo Bitter Bianco, .75 oz Gin, .75 oz Clarified Milk*, 2 dash Orange Bitters, 4 drops Vanilla"
523,Chilcano (variation),"1.25 oz BarSol Primero Quebranta Pisco, .25 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, .25 oz Agave Nectar, 3-4 drops Cranberry Bitters, 4 oz Ginger Beer"
524,Little Ground Tapper,"2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters"
525,Prince of Humbugs,"2 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Bitter, .5 oz Cold Blue Bottle Coffee, .25 oz Luxardo Anisette, 2 dash Peychaud's Bitters"
526,The Big Picture,"1.5 oz Tempus Fugit Alessio Vino Chinato, 1.5 oz Fig-Infused C. Drouin Calvados Selection, .5 oz Lemon, .25 oz Simple Syrup"
527,The King's Squeeze,"35 ml King's Ginger Liqueur, 125 ml Fever-Tree Bitter Lemon"
528,English Harbour Colada,"2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water"
529,Rita's Song,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz 15 YO Sherry, 2 dashes Dr. Adam's Boker's bitters, .25 oz Simple syrup"
530,Le Femme Nikita,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters"
531,1880's Americana,"2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup"
532,Luxardo Maraschino Simple Spritz,".5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water"
533,Aperitivo Spritz,"2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water"
534,La Chiara,"1 oz Luxardo Bitter Bianco, 1 oz BarSol Primero Quebranta Pisco, 2 oz Fever-Tree Indian Tonic, 1 dash Luxardo Maraschino Liqueur"
535,Luxardo Ice Cream Float,"1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream,  top Soda Water"
536,Negroni,"1 oz No.3 London Dry Gin, 1 oz Campari, 1 oz Martini & Rossi Sweet Vermouth"
537,Nellie Fer' Toddy,"1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice,  top Hot Water, 1 dash Peychaud's Bitters"
538,Almond Crusta,"1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters"
539,Mexico Mule,"1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup"
540,Hidarite,"1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters"
541,Bird is the Word,".75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice"
542,Jammie Dodger Fizz,"2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White"
543,Rudolph's Rose,"1.5 oz Christmas Spirit, .25 oz Luxardo Maraschino Liqueur, .5 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter"
544,Heard It Through The Grapevine,"1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine"
545,Snow Bunny,"1.5 oz Christmas Spirit, .5 oz King's Ginger Liqueur, .5 oz Lemon juice, .5 oz Honey syrup, .5 oz Egg white, 2 oz Ale, 3 drops Dale DeGroff's Pimento Aromatic Bitters"
546,A Love Song,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur"
547,Drops of Jupiter,"1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water"
548,Mother Superior,"1.5 oz Blanc Vermouth, .75 oz Lemon Juice, .5 oz Junipero Gin, .5 oz Giffard Pamplemousse, .5 oz House-made Yellow Shaw-treuse*, .5 oz Tonic, 2 dash Celery Bitters, 2 dash Coriander Tincture"
549,Round Pond Aperitif,"1.5 oz Luxardo Aperitivo, .5 oz Round Pond Blood Orange Syrup, .5 oz Fresh Lemon Juice, 1 splash Sparkling Wine"
550,Across The Pond,"1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water"
551,Fizzy Rhubarb Mule,"2 oz Rhubarb Infused Gin*, .5 oz King's Ginger Liqueur, .75 oz Lemon, .75 oz Simple Syrup , 1  Egg White,   Soda"
552,Charente Royale,"1.5 oz H by HINE, .5 oz Elderflower Liqueur, 2 dash Absinthe,  top Sparkling Wine"
553,Peachy Keane,"1.5 oz Old Forester Bourbon, .5 oz King's Ginger Liqueur, .5 oz Giffard Crème de Pêche de Vigne, .5 oz Honey syrup (local honey cut 2:1 with water), .75 oz Lemon juice, 1  Egg white, 1 dash Angostura Bitters"
554,Hopped-Up Mary,"2 oz Hophead Vodka, 6 oz Tomato Juice, 1.5 tsp Demitri's Bloody Mary Seasoning, .5 oz Fresh Lemon Juice"
555,The Palace Cellar,"1.5 oz King's Ginger Liqueur, .5 oz Pink Pigeon Rum, .5 oz Fresh-pressed Lemon Juice, .5 oz Snake Oil's House-made Sarsaparilla Syrup, .75 oz Carbonated Water, 1 dash Snake Oil's House-made Pomegranate Bitters"
556,Swedish Royal,"2 oz Karlsson's Gold Vodka, 1 oz Apricot brandy, .5 oz Dry vermouth, .5 oz Sweet vermouth"
557,Gold Spritz,"1 oz Cocchi Americano, 1 oz Karlsson's Gold Vodka, 2 oz Club Soda"
558,La Madrugada,"1.5 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Lemon juice, .5 oz Luxardo Amaro Abano, .25 oz Luxardo Maraschino Liqueur"
559,The Rickenbacker,"2 oz Hophead Vodka, 1 oz Tempus Fugit Alessio Vermouth Bianco, 2 dash Luxardo Maraschino Liqueur,   Salt"
560,The Douglas Tilden,"2 oz Junipero Gin, .5 oz Lacuesta Blanco Vermouth, .25 oz Salers Gentiane Aperitif, 1 bsp Luxardo Maraschino Liqueur, 1 bsp Germain-Robin Absinthe, 2 dash Scrappy’s Lime Bitters"
561,Willow,"1 oz Old Potrero Straight Rye Whiskey, 1.5 oz BarSol Perfecto Amor (Aperitif Wine), 1 bsp Luxardo Amaro Abano, 1 dash Angostura bitters"
562,Sahara Glowing Heart,"1.5 oz Junipero Gin, .75 oz Apricot Eau-de-Vie, .25 oz Grenadine, 2 dash Lemon Bitters, 2 dash Absinthe"
563,Nori & Islay,"1.5 oz Junipero Gin, 1.5 oz Nori-Infused Sake*, 1 dash Celery Bitters, 3 dash Islay Scotch"
564,You Bet Your Ascot,"1.5 oz H by HINE, .75 oz Bonal, .5 oz Luxardo Amaro Abano, .25 oz Nocino"
565,Speyside Orchard,"1 oz Glenrothes Bourbon Reserve, 1.5 oz C. Drouin Pommeau de Normandie, .5 oz Chamomile Tea Syrup*, .75 oz Lemon Juice"
566,Chippendale Rosetone,"1.5 part Gin, .25 part Luxardo Apricot Liqueur, .75 part Casoni 1814, .5 part Dry Vermouth, 1 part Unfiltered Apple Juice, 1 part Fresh Lemon Juice, .5 part Rich Simple Syrup (2:1), 2 part Jasmine Green Tea"
567,La Hops Vie,"2 oz Hophead Vodka, .75 oz Fresh Lemon Juice, .75 oz Fresh Grapefruit Juice, .5 oz Simple Syrup,   Gin Barrel Aged Orange Bitters,   Fresh Basil Leaves"
568,Cap't of the Seven Seas,"2 oz Ypioca Brasilizar Cachaca Ouro Reserva Especial, 1 oz Jalapeno-Orange Simple Syrup, 1 oz Coconut Milk, 4 dash Orange Flower Water, 9 drops Mole Bitters"
569,Boko Buku,"1.5 oz Mezcal, .75 oz Don Ciccio & Figli Concerto, .125 oz Vanilla Marinade, 8 dash Mole Bitters"
570,Chapman Cobbler,"1 oz Applejack, 1 oz Amontillado Sherry, .75 oz Orgeat, .75 oz Fresh Lemon Juice, 1 bsp Tempus Fugit Creme de Noyaux"
571,Baile de Verano,"2 oz BarSol Perfecto Amor (Aperitif Wine), .5 oz Penny Blue Mauritian Rum, 6 dash Celery Shrub, 3 dash House-made Tarragon Tincture"
572,Peter Pumpkin,"1.5 oz Junipero Gin, .5 oz Orange Liquor, 1.5 oz House-made Spiced Pumpkin Puree, .5 oz Lemon Juice, .5 oz Ginger Syrup, 1  Egg White,  top Apple Cider"
573,A Botanical Garden,"1.5 oz Hophead Vodka, .75 oz Zirbenz Stone Pine, .75 oz Fresh Strawberry Juice w/ Xanthan Gum*, .75 oz Lemon Juice, .5 oz Simple Syrup"
574,The Bossa Nova,"2 oz Chinaco Blanco Tequila, .5 oz Lemon Juice, .5 oz Small Hand Foods Pineapple Gum Syrup, .25 oz Vanilla Syrup*, .5 oz Coconut Cream**, .5 oz Egg White"
575,The Monte Rua,"4 oz Ca' Secco Sparkling, 1 bsp Luxardo Cherry Syrup"
576,See ya Amaro!,"1.5 oz H by HINE, .75 oz Luxardo Amaro Abano, .5 oz Luxardo Apricot Liqueur, .25 oz Luxardo Amaretto di Saschira, .16 oz Luxardo Maraschino Liqueur, .5 oz Perfect Puree Apricot*, .5 oz Lemon Juice"
577,Rose Sangria,"1.5 oz Pink Pigeon Rum, .5 oz Fresh Lemon Juice, .75 oz Honey Syrup (1:1 honey & water), 1 oz Pomegranate Juice, 3 oz Rose Wine,   Cinnamon, grated,   Nutmeg, grated,   Cherries,   Strawberries,   Watermelon, cube"
578,White Tie,"1 oz Luxardo Bitter Bianco, 2 oz No.3 London Dry Gin, 2 dash Orange Bitters, 1 bsp Luxardo Maraschino Liqueur"
579,The Italian Diplomat,"1 oz Luxardo Bitter Bianco, 1.5 oz BarSol Primero Quebranta Pisco, .25 oz Bay Leaf Syrup*, 2 dash Salt Tincture**"
580,Bunny Poison,"2 oz Rhubarb Cucumber & Mint-Infused Junipero Gin, .75 oz Lemon Juice, .75 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Rhubarb Juice, .5 oz Grapefruit Juice, .5 oz Rhubarb Syrup, 2 dash Fee Brothers Celery Bitters"
581,See You T'Amaro,"1.5 oz Luxardo Amaro Abano, .5 oz Lemon juice, .25 oz Simple syrup, .5 oz Egg white, 1 dash Fee Bros Rhubarb bitters"
582,Cut To The Chase,"2 oz J.H. Cutter Whisky, .75 oz Averna Amaro, .5 oz Alvear PX Sherry, 2 dash Angostura Bitters"
583,The Lover's Quarrel ,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .75 oz King's Ginger Liqueur, .5 oz Honey Jalapeño syrup, 1 oz Orange juice, .5 oz Lemon juice, 1 oz Soda water"
584,Hophead Dirty Martini,"4 oz Hophead Vodka, .5 oz Olive Juice, 1 dash Dry Vermouth"
585,Newton's Theory,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .75 oz C. Drouin Pommeau de Normandie, .25 oz Luxardo Maraschino Liqueur, 4 dash Black Walnut Bitters"
586,West Coast Vesper,"1 oz Hophead Vodka, 1 oz Junipero Gin, .5 oz Maurin Quina"
587,Hophead Old Fashioned,"2 oz Hophead Vodka, .25 oz Simple syrup, 2 dash Angostura bitters, 1 dash Fee Brothers Gin Barrel Aged Bitters"
588,Bacio Romana,"1.5 oz Luxardo Bitter Bianco, .5 oz BarSol Pisco, .5 oz Luxardo Maraschino Liqueur, .5 oz Dry Vermouth"
589,3 Degrees,"1.75 oz No.3 London Dry Gin, .75 oz Velvet Falernum, .5 oz Lime juice, .5 oz Pear Sage Foam, 1 float Prosecco"
590,Jack Cherry Sour (2001 Remix),"1.5 oz Jack Daniel's, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fresh Lemon Juice, .25 oz Cane Sugar Syrup*, 1 dash Angostura Orange Bitters"
591,Spring Forward,"2 oz Old Tom Gin, .5 oz Noilly Prat Ambre Vermouth, .5 oz Pineapple Juice, .5 oz Lime Juice, .25 oz Rich Simple (2:1), .75 float Dry Sparkling Wine"
592,Three Flips,"1.5 oz No.3 London Dry Gin, 1.5 oz Averna, .75 oz Honey, 1 whole Egg"
593,Buenaventura,".75 oz BarSol Primero Quebranta Pisco, .75 oz El Tesoro Reposado Tequila, .5 oz Grüner Veltliner, .5 oz Lime, .25 oz Pineapple Gum, 1 bsp Sweet Marmalade"
594,Nieux Carré,"1.5 oz Karlsson's Gold Vodka, .75 oz Gran Duque d Alba Solera gran Reserva brandy, .75 oz Carpano Antica Vermouth, .25 oz Benedictine, 1 tincture Peychaud's Bitters, 1 tincture Angostura bitters"
595,L.E.S. Is More,"1.5 oz Karlsson's Gold Vodka, .75 oz Esprit de June, .5 oz Fresh lemon juice, .5 oz Simple syrup"
596,La Perle de Verre,"1 oz Luxardo Bitter Bianco, 1 oz Citadelle Gin, 2 dash Orange Bitters, .25 oz Rose Poached Pear Syrup*, 1 oz Topo Chico Mineral Water, 1 oz Fever-Tree Sparkling Lemon"
597,A Tall Tell,"9 oz C. Drouin Calvados Selection, 6 oz Marrakesh Mint Tea, 6 oz Prosecco, 3 oz King's Ginger Liqueur, 2 oz Lemon Juice, 1.5 oz Velvet Falernum, .5 oz Dale DeGroff's Pimento Aromatic Bitters"
598,Cut and Run,"1.5 oz J.H. Cutter Whisky, 1 oz  Moroccan Mint Tea (chilled)*, .75 oz The King's Ginger, .5 oz Lemon Juice, .25 oz Rich Honey Syrup**"
599,The Stand By,"2 oz Junipero Gin, .5 oz Luxardo Bitter, 1 bsp Kalani Coconut Liqueur, 1 dash Angostura Bitters, 1 dash Peychaud's Bitters"
600,Second City Sour,"2 oz Hirsch Small Batch Reserve Bourbon, 1 oz Fresh Lemon Juice, .5 oz Orange-scented Maple Syrup*, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso"
601,California's Callin',"1.5 oz Junipero Gin, .5 oz Luxardo Maraschino Liqueur, 1 oz Grapefruit Juice, .75 oz Lemon Juice, 1 dash Tempus Fugit Abbott's Bitters,  to fill Anchor California Lager"
602,End of Winter,"2 oz H by HINE (Brown Butter-Infused), 0.5 oz King's Ginger Liqueur, 3 dash Fee Brothers Black Walnut Bitters"
603,Hopped-Up Mule,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, .75 oz Lime Juice,  top Ginger Beer"
604,Bay City Shandy,"1.5 oz Hophead Vodka, .75 oz Giffard Pamplemousse, .5 oz Lemon Juice, 2 dash Orange Bitters,  top IPA"
605,San Fran Shandy,"2 oz Hophead Vodka, .5 oz King's Ginger Liqueur, 3 oz Breckle's Brown Ale, 1 oz Fresh Lemon Juice, .5 oz Honey Syrup, .5 oz Egg White, 2 dash Angostura Bitters"
606,West Bank,"1.5 oz HINE Rare VSOP, .5 oz Cynar, .5 oz Bywater Spice Mix*, 1 oz Cold-Brew Coffee"
607,Hotaling White Manhattan,"2 oz Christmas Spirit, 1 oz Tempus Fugit Alessio Vermouth Bianco, .25 oz Luxardo Triplum (Triple Sec), 1 dash Fee Brother's Orange Bitters"
608,Coffey Grain Manhattan,"2 oz Nikka Coffey Grain Whisky, 1 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 1 dash Tempus Fugit Abbott's Bitters"
609,Shadowcat,"1 oz Luxardo Bitter Bianco, 1 oz Barr Hill Gin, .75 oz Falernum, 1 oz Topo Chico Mineral Water, 1 dash Lemon Bitters"
610,San Francisco Harvest,"1.5 oz Junipero Gin, .75 oz Oloroso Sherry, .75 oz Lemon Juice, .75 oz Winter Spice Brown Sugar Syrup*, 1 oz Pineapple Juice"
611,Martinez,"2 oz Old Tom Gin, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .25 oz Luxardo Maraschino Liqueur, 2 dash Orange Bitters"
612,Negroni D'Amore,"1.5 oz Old Tom Gin, 1 oz Barolo Chinato, 1 oz Tempus Fugit Kina L'Aero d'Or"
613,Radice Amara,"1.5 oz Luxardo Bitter Bianco, 1 oz Reisetbauer Carrot Eau De Vie, .75 oz Genevieve Gin"
614,Don't Rock the Boat Punch,"1 part No.3 London Dry Gin, 1 part Rooibus Tea (steeped and cooled), 1 part Mulled Cider (cooled), .5 part Clover Honey Syrup, .33 part Cava,   Angostura"
615,Miyagikyo Kick,"1.5 oz Nikka Whisky Miyagikyo Single Malt 12 YO, .75 oz Rare Wine Co. Charleston Sercial Madeira, .75 oz Fresh lime juice, .625 oz Small Hands Food orgeat"
616,King's Toddy,"1 oz No.3 London Dry Gin, .75 oz Lemon Juice, .5 oz King's Ginger Liqueur, .5 oz Clover Honey Syrup"
617,Picadilly,"1.5 oz No.3 London Dry Gin, .5 oz Pimms, 1 bsp Luxardo Amaretto di Saschira, 1 oz Fresh lime juice, .75 oz Simple syrup, 5 leaves Basil leaves"
618,Elgin Elixir,"1 oz BenRiach Single Malt 12 YO, 1 oz C. Drouin Calvados Selection, 1 oz Luxardo Aperitivo"
619,The Canevari Cocktail,"1.5 oz Old Tom Gin, 1 oz Cocchi Vermouth di Torino, .5 oz Luxardo Bitter, 3 dash Angostura Bitters"
620,Erasmus' Revenge,"2 oz Junipero Gin, .5 oz Carpano Antica, 1 bsp Calisaya, 3 dash The Bitter Truth Grapefruit Bitters"
621,The Sparkler,".75 oz Luxardo Bitter Bianco, .75 oz Dolin Blanc, 2.5 oz Prosecco"
622,Shroud of the Inca,"1 oz Luxardo Bitter Bianco, .25 oz Castilian Tincture*, .75 oz BarSol Supremo Moste Verde Italia Pisco, 2 oz Prosecco"
623,New Beginnings,".75 oz Luxardo Bitter Bianco, .75 oz Avua Cachaca Prata, .75 oz Broker's London Dry Gin, .75 oz Coconut Water, 2 dash Toasted Coconut Tincture*, 1 dash Almond Extract,  top Fever-Tree Mediterranean Tonic Water"
624,Fuji-La,".5 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, 1.5 oz Apple Water*, 1 ml Citric Acid Solution**"
625,The Cliffdiver,"1.25 oz D'aristi 10 YR Rum, .5 oz The Genuine Curacao Liqueur Blue, .25 oz Tempus Fugit Liqueur de Violettes, 1 oz Lime Juice, .5 oz Tahitian Vanilla Bean Syrup, 1 float Ginger Beer, 3 dash Angostura Bitters"
626,Irish Goodbye,"1.5 oz Nikka Coffey Grain Whisky, .25 oz Absinthe, 4 oz Hot coffee, 2-3 oz Homemade Irish Cream"
627,Beachcomber,"1.5 oz Light Rum, .75 oz  Cointreau, .75 oz Lime Juice, .25 oz Luxardo Maraschino Liqueur, .125 oz Simple Syrup (optional)"
628,Old Tom and The Sea,"1.5 oz Old Tom Gin, 1 oz Tempus Fugit Alessio Vermouth Bianco, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Lemon Juice"
629,Salty Swede,"2 oz Karlsson's Gold Vodka, 2 oz Fresh grapefruit juice, 1 oz Club soda, 1 tincture Grapefruit bitters"
630,The Last Tango,"1.5 oz Junipero Gin, 1 oz Giffard Elderflower Liqueur, 1 oz Lime Juice, 8-9 drops Chili Tincture*, 6  Luxardo Maraschino Cherries"
631,Pink & Black,"2 oz Pink Pigeon Rum, 3 oz Coca-Cola, .5 oz Lime Juice"
632,Pink & Ginger,"2 oz Pink Pigeon Rum, 3 oz Ginger Beer, .5 oz Lime Juice"
633,A Regal Air ,"3 oz Domingo Perez Marin 'la Guita' Manzanilla Sherry, .5 oz King's Ginger Liqueur, .25 oz Chartreuse , .25 oz Juice of an Orange"
634,King's Mule,"1.5 oz Absolut Vodka, .5 oz King's Ginger Liqueur, 1 oz Fresh Lemon Juice , 1 oz Ginger-Cinnamon Syrup*, 2 dash Bar Keep Lavender Spice Bitters,  top Club Soda"
635,Caipirinha,"4 pieces Lime, 1-2 Tbsp Sugar, 1 1/2 oz Ypiòca"
636,Bubbly Bird,"1 oz Pink Pigeon Rum, 1 fill Champagne, 1 dash Angostura bitters, 1 dash Peach bitters, 1 dash Luxardo Fernet"
637,Framboise de Pigeon,"2 oz Pink Pigeon Rum, .5 oz Briottet Creme de Framboise (Raspberry), .5 oz Lemon juice, .25 oz Simple syrup*"
638,Far From the Tree,"1.5 oz C. Drouin Calvados Selection, .75 oz Orgeat, .5 oz Lemon Juice, 1 oz Pear & Celery Puree, .5  Egg white"
639,Luxardo Sour,"1.25 oz Luxardo Amaretto di Saschira, 1 oz Rye Whiskey, 1 oz Lemon Juice, .75 oz Angostura Bitters, 1  Egg White"
640,The Molino,"1.5 oz Bourbon, .5 oz Luxardo Amaretto di Saschira, .5 oz Demerara Syrup (1:1), .75 oz Lemon Juice, 1  Egg White"
641,The King's Egg Nog,"1 oz No.3 London Dry Gin, .5 oz King's Ginger Liqueur, .25 oz English Harbour Rum, 3 spoon Sugar, 1 whole Egg, .5 oz Milk, .5 oz Cream"
642,White Walker Flip,"1 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Green Chartreuse, .75 oz Sweetened Apple Cider, 2 dash Baked Apple Bitters, 1 whole Egg"
643,Hibiscus Pisco Sour,"2 oz BarSol Primero Quebranta Pisco, .75 oz Lime juice, .75 oz Hibiscus/rose syrup, 1  Egg white"
644,Lux Japanese Lemonade,"1.5 oz No.3 London Dry Gin, .5 oz Jummai Ginjo Sake, .25 oz Luxardo Limoncello, .25 oz Dill Cordial, .5 oz Meyer Lemon Juice, .25 oz Yuzu Juice, .5 oz Fresh egg White"
645,Flip and Flight,"30 ml Pink Pigeon Rum, 15 ml Dry Oloroso Sherry, 15 oz Grenadine, 1 whole Egg,   Vanilla-Salt Spray"
646,Dry Mauritian Sour,"40 ml Pink Pigeon Rum, 10 ml Campari, 10 ml Lavender syrup, 10 ml Lemon juice , 10 ml Orange juice, 25 ml Egg white"
