,Cocktail Name,Ingredients
80,Chicago Fizz,"NoneCarbonated water, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 oz Port, 1 oz Light rum, "
81,Cosmopolitan,"1/4 cup Cranberry juice, 1/4 oz Cointreau, 1/4 oz Lime juice, 1 1/4 oz Vodka, "
82,Coffee-Vodka,"NoneCaramel coloring, 1 1/2 cupVodka, 1/2Vanilla, 1/2 cup instant Coffee, 2 cups white Sugar, 2 cups Water, "
83,Casino Royale,"1 Egg yolk, 1 dash Orange bitters, 1 tsp Maraschino liqueur, 1/2 oz Lemon juice, 2 oz Gin, "
84,Corpse Reviver,"1 dashAbsinthe, 3/4 ozLemon Juice, 3/4 ozLillet Blanc, 3/4 ozTriple Sec, 3/4 ozGin, "
85,Chocolate Milk,"1 dash Amaretto, 1/2 shot Milk, 1/2 shot Chocolate liqueur, "
86,Clove Cocktail,"1/2 oz Muscatel Wine, 1/2 oz Sloe gin, 1 oz Sweet Vermouth, "
87,Coffee Liqueur,"2 1/2 cups Water, 1 qt Vodka, 2 1/2 cups Sugar, 4 tblsp Vanilla extract, 10 tblsp instant Coffee, "
91,Derby,"2 Fresh leavesMint, 2 dashesPeach Bitters, 6 clgin, "
92,Diesel,"1 dash Blackcurrant cordial, 1/2 pint Cider, 1/2 pint Lager, "
93,Daiquiri,"1 tsp Powdered sugar, Juice of 1/2 Lime, 1 1/2 oz Light rum, "
94,Danbooka,"1 part Everclear, 3 parts Coffee, "
95,Downshift,"Float Bacardi 151 proof rum, 2 shots Tequila, 1 part Sprite, 2 part Fruit punch, "
96,Dragonfly,"1 Lime, 4 oz Ginger ale, 1 1/2 oz Gin, "
97,Dry Martini,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin, "
98,Dry Rob Roy,"1 twist of Lemon peel, 1 1/2 tsp Dry Vermouth, 2 1/2 oz Scotch, "
99,Dirty Nipple,"NoneBaileys irish cream, NoneSambuca, NoneKahlua, "
100,Dirty Martini,"1Olive, 1 wedgeLemon, 2 tbspOlive Brine, 1 tbspDry Vermouth, 70ml/2fl ozVodka, "
101,Darkwood Sling,"cubesIce, 1 part Orange juice, 1 part Soda water, 1 part Cherry Heering, "
102,Dark and Stormy,"10 clGinger Beer, 5 clDark Rum, "
103,Dark Caipirinha,"2 1/2 ozCachaca, 1Lime, 2 tsp demerara Sugar, "
104,Duchamp's Punch,"2 sprigsLavender, PinchPepper, 2 DashesAngostura Bitters, 1.5 clSt. Germain, 2.5 clPineapple Syrup, 2.5 clLime Juice, 5 clPisco, "
105,Damned if you do,"0.25 oz Hot Damn, 0.75 oz Whiskey, "
106,Dubonnet Cocktail,"1 twist of Lemon peel, 1 dash Bitters, 3/4 oz Gin, 1 1/2 oz Dubonnet Rouge, "
108,Death in the Afternoon,"TopChampagne, 2 shotsAbsinthe, "
110,Egg Nog #4,"Ground Nutmeg, 1/4 cup Sugar, 6 Egg white, 1 cup Whipping cream, 1/4 tsp Salt, 1 tsp Vanilla extract, 1/2 cup Bourbon, 1/2 cup Light rum, 2 cups Milk, 1/4 cup Sugar, 6 Egg yolk, "
111,English Highball,"NoneLemon peel, NoneCarbonated water, 3/4 oz Sweet Vermouth, 3/4 oz Gin, 3/4 oz Brandy, "
112,Espresso Martini,"1 dashSugar syrup, 1 clKahlua, 5 clVodka, "
113,Espresso Rumtini,"1 shotCoffee, 1 shotEspresso, 1/2 shotVanilla syrup, 1 shotRum, "
114,Egg Nog - Healthy,"
Nutmeg, 1 tsp Rum, 1 tsp Vanilla extract, 3/4 cup skimmed Milk, 13 oz skimmed Condensed milk, 3 tblsp Sugar, 1/2 cup Egg, "
115,English Rose Cocktail,"1 Cherry, 1/4 tsp Lemon juice, 1 tsp Grenadine, 3/4 oz Dry Vermouth, 1 1/2 oz Gin, 3/4 oz Apricot brandy, "
116,Elderflower Caipirinha,"3 clElderflower cordial, 1Lime, 60 mlCachaca, "
117,Egg-Nog - Classic Cooked,"1 tsp Vanilla extract, 1 qt Milk, 1/4 tsp Salt, 1/4 cup Sugar, 6 Egg, "
118,Empellón Cocina's Fat-Washed Mezcal,"1/2 ozCoffee liqueur, 3/4 ozChocolate liqueur, 2 ozMezcal, "
119,Frosé,"2-3 ozLemon Juice, 8 ozStrawberries, 1/2 cupSugar, 750 mlRose, "
121,Foxy Lady,"2 oz Light cream, 1/2 oz Creme de Cacao, 1/2 oz Amaretto, "
122,French 75,"1 Maraschino cherry, 1 Orange, 4 oz Chilled Champagne, 1 1/2 oz Lemon juice, 2 tsp superfine Sugar, 1 1/2 oz Gin, "
123,Figgy Thyme,"TopTonic Water, 2 dashesAngostura Bitters, 1 SprigThyme, 3Figs, 1 tspHoney, 2 ozVodka, "
124,Frisco Sour,"1 slice Lime, 1 slice Lemon, Juice of 1/2 Lime, Juice of 1/4 Lemon, 1/2 oz Benedictine, 2 oz Blended whiskey, "
127,Freddy Kruger,"1/2 oz Vodka, 1/2 oz Sambuca, 1/2 oz Jägermeister, "
128,Funk and Soul,"TopSoda Water, Juice of 1/2lemon, 1 shotPomegranate juice, 1 shotApricot Nectar, 2 shotsRum, "
129,Fuzzy Asshole,"1/2 Peach schnapps, 1/2 Coffee, "
130,French Martini,"1.5 clpineapple juice, 1.5 clRaspberry Liqueur, 4.5 clVodka, "
131,French Negroni,"1Orange Peel, 1 ozSweet Vermouth, 1 ozLillet, 1 ozGin, "
132,Fahrenheit 5000,"1 dash Tabasco sauce, 1/2 oz Absolut Peppar, 1/2 oz Firewater, "
133,Flying Dutchman,"1/2 oz Triple sec, 2 oz Gin, "
134,Frozen Daiquiri,"1 cup crushed Ice, 1 Cherry, 1 tsp Sugar, 1 1/2 oz Lime juice, 1 tblsp Triple sec, 1 1/2 oz Light rum, "
136,Flying Scotchman,"1/4 tsp Sugar syrup, 1 dash Bitters, 1 oz Sweet Vermouth, 1 oz Scotch, "
137,French Connection,"3/4 oz Amaretto, 1 1/2 oz Cognac, "
138,Flaming Dr. Pepper,"1 oz Beer, 1 oz Dr. Pepper, 1 oz Bacardi 151 proof rum, 1 oz Vodka, 1 oz Amaretto, "
139,Flaming Lamborghini,"1 oz Baileys irish cream, 1 oz Blue Curacao, 1 oz Sambuca, 1 oz Kahlua, "
140,Flander's Flake-Out,"3/4 glass Sarsaparilla, 1/4 glass Sambuca, "
141,Frozen Mint Daiquiri,"1 tsp Sugar, 6 Mint, 1 tblsp Lime juice, 2 oz Light rum, "
142,Frozen Pineapple Daiquiri,"1/2 tsp Sugar, 1 tblsp Lime juice, 4 chunks Pineapple, 1 1/2 oz Light rum, "
143,GG,"NoneIce, NoneGinger ale, 2 1/2 shots Galliano, "
144,Gimlet,"1Lime, 1/2 ozSugar Syrup, 1/2 ozLime Juice, 2 1/2 ozGin, "
145,Godchild,"1 oz Heavy cream, 1 oz Amaretto, 1 oz Vodka, "
146,Gin Fizz,"NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin, "
147,Gin Sour,"1 Maraschino cherry, 1 Orange, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin, "
148,Gagliardo,"1 part Sirup of roses, 1 part Galliano, 3 parts Lemon juice, 5 parts Peach Vodka, "
149,Godmother,"3/4 oz Amaretto, 1 1/2 oz Vodka, "
150,Godfather,"3/4 oz Amaretto, 1 1/2 oz Scotch, "
151,Gluehwein,"1 tblsp Lemon peel, 3 Cloves, 1 Cinnamon, 60 gr Sugar, 125 ml Water, 1 L Red wine, "
152,Gin Tonic,"cubesIce, 1 SliceLemon Peel, 10 clTonic Water, 4 clGin, "
153,Gin Toddy,"1 twist of Lemon peel, 1/2 tsp Powdered sugar, 2 tsp Water, 2 oz Gin, "
154,Gin Smash,"1 Cherry, 1 slice Orange, 4 Mint, 1 cube Sugar, 1 oz Carbonated water, 2 oz Gin, "
155,Gin Daisy,"1 Orange, 1 Maraschino cherry, 1/2 tsp Grenadine, 1/2 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Gin, "
156,Gin Lemon,"cubesIce, 1 SliceLemon Peel, 8 clLemon Juice, 6 clGin, "
157,Gin Sling,"Twist of Orange peel, 1 tsp Water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Gin, "
158,Greyhound,"3 ozGrapefruit Juice, 1 1/2 ozVodka, "
159,Gin Rickey,"GarnishLime, Top up withSoda Water, Juice of 1/2 lemon, 1 tsp Grenadine, 2 oz Gin, "
160,Gin Squirt,"NoneCarbonated water, 2 Strawberries, 3 chunksPineapple, 1 tblsp Powdered sugar, 1 tsp Grenadine, 1 1/2 oz Gin, "
161,Grand Blue,"3 cl Sweet and sour, 1 1/2 cl Blue Curacao, 1 1/2 cl Peach schnapps, 1 1/2 cl Malibu rum, "
162,Gin Cooler,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneCarbonated water, 2 oz Gin, "
163,Gin Swizzle,"3 oz Club soda, 1 dash Bitters, 2 oz Gin, 1 tsp superfine Sugar, 1 1/2 oz Lime juice, "
164,Grass Skirt,"1 Pineapple, 1/2 tsp Grenadine, 1 oz Pineapple juice, 1 oz Triple sec, 1 1/2 oz Gin, "
165,Grasshopper,"3/4 oz Light cream, 3/4 oz white Creme de Cacao, 3/4 oz Green Creme de Menthe, "
166,Grim Reaper,"1 dash Grenadine, 1 oz Bacardi 151 proof rum, 1 oz Kahlua, "
167,Gin and Soda,"1/4Lime, 5 ozSoda Water, 2 ozGin, "
168,H.D.,"NoneCoffee, 8 cl Baileys irish cream, 4 cl Whisky, "
169,Honey Bee,"2 clLemon Juice, 2 clHoney, 6 clWhite Rum, "
170,Hot Toddy,"2Cloves, 1lemon, 1Cinnamon, 15 mlHoney, 50 mlWhiskey, "
171,Herbal flame,"very sweet Tea, 5 shots Hot Damn, "
172,Horse's Neck,"2 dashes Bitters, 5 oz Ginger ale, 2 oz Brandy, 1 long strip Lemon peel, "
173,Happy Skipper,"NoneIce, NoneLime, NoneGinger ale, 1 1/2 cl Spiced rum, "
174,Hunter's Moon,"2Blackberries, 100 mlLemonade, 10 mlSugar Syrup, 15 mlMaraschino Cherry, 25 mlVermouth, "
175,Halloween Punch,"20 clVodka, 6Ginger, 10Cloves, 1Red Chili Flakes, 3Orange Peel, 1 bottleCherry Juice, "
176,Havana Cocktail,"1 tsp Lemon juice, 1 oz Pineapple juice, 1 oz Light rum, "
178,Homemade Kahlua,"1 fifth Vodka, 3 cups boiling Water, 2 oz Vanilla extract, 1 1/2 oz instant Coffee, 1 cup Corn syrup, 2 1/2 cups Sugar, "
179,Hot Creamy Bush,"6 oz hot Coffee, 3/4 shot Baileys irish cream, 1 shot Irish whiskey, "
180,Harvey Wallbanger,"4 oz Orange juice, 1/2 oz Galliano, 1 oz Vodka, "
181,Hawaiian Cocktail,"1 tblsp Pineapple juice, 1/2 oz Triple sec, 2 oz Gin, "
182,Hemingway Special,"3 partsLime Juice, 3 partsMaraschino Liqueur, 8 partsGrapefruit Juice, 12 partsRum, "
183,Highland Fling Cocktail,"1 Olive, 2 dashes Orange bitters, 3/4 oz Sweet Vermouth, 1 1/2 oz Scotch, "
186,Ice Pick," to taste
Lemon juice, 6 oz Iced tea, 1 1/2 oz Vodka, "
188,Irish Cream,"1 tblsp Chocolate syrup, 3 drops Coconut syrup, 1 can sweetened Condensed milk, 1 1/4 cup Half-and-half, 1 cup Scotch, "
189,Irish Coffee,"1 tblsp Whipped cream, 1 tsp Sugar, 8 oz Coffee, 1 1/2 oz Irish whiskey, "
190,Irish Spring,"1 Cherry, 1 slice Orange, 1 oz Sweet and sour, 1 oz Orange juice, 1/2 oz Peach brandy, 1 oz Irish whiskey, "
191,Imperial Fizz,"NoneCarbonated water, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey, 1/2 oz Light rum, "
192,Irish Russian,"Fill with Guinness stout, 1 dash Coca-Cola, 1 shot Kahlua, 1 shot Vodka, "
193,Imperial Cocktail,"4 cl Aperol, 2 cl Gin, 4 cl Lime juice, "
194,Iced Coffee Fillip,"Strong cold Coffee, 2 tsp Kahlua, "
195,Irish Curdling Cow,"2-3 oz Orange juice, 3/4 oz Vodka, 3/4 oz Bourbon, 3/4 oz Baileys irish cream, "
196,Jam Donut,"2 pinchesSugar, 1 tspSugar syrup, 1/3 ozChambord raspberry liqueur, 2/3 ozBaileys irish cream, "
197,Jitterbug,"Fill to top with Soda water, 3 dashes Sugar syrup, Around rim put 1 pinch Sugar, 1 shot Lime juice, 3 dashes Grenadine, 1 jigger Vodka, 2 jiggers Gin, "
198,Jackhammer,"1 oz Amaretto, 1 oz Jack Daniels, "
199,Jelly Bean,"1 oz Anis, 1 oz Blackberry brandy, "
200,Jello shots,"3 cups Water, 3 packages Jello, 2 cups Vodka, "
201,Jamaica Kiss,"NoneMilk, cubesIce, 1 shot Jamaican Light rum, 1 shot Coffee liqueur, "
202,John Collins,"1 Orange, 1 Maraschino cherry, 3 oz Club soda, 1 tsp superfine Sugar, 1 oz Lemon juice, 2 oz Bourbon, "
203,Japanese Fizz,"NoneCarbonated water, 1 Egg white, 1 tblspPort, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 1/2 oz Blended whiskey, "
204,Jamaican Coffee,"NoneWhipped cream, 1/2 glass cold Water, 1/6 glass strong black Coffee, 1/6 glass Rum, "
206,Jewel Of The Nile,"1/2 oz Yellow Chartreuse, 1/2 oz Green Chartreuse, 1 1/2 oz Gin, "
207,Jack Rose Cocktail,"Juice of 1/2 Lime, 1 tsp Grenadine, 1 1/2 oz Apple brandy, "
208,Jack's Vanilla Coke,"10-12 oz Coca-Cola, 1 tsp Vanilla extract, 2 oz Tennessee whiskey, 4-5 Ice, "
209,Kir,"5 parts Champagne, 1 part Creme de Cassis, "
210,Karsk,"2 parts Grain alcohol, 1 part Coffee, "
211,Kamikaze,"1 oz Lime juice, 1 oz Triple sec, 1 oz Vodka, "
212,Kir Royale,"5 parts Champagne, 1 part Creme de Cassis, "
213,Kiwi Lemon,"cubesIce, 2 parts Bitter lemon, 1 part Kiwi liqueur, "
214,Kurant Tea," (if needed)
Sugar, Turkish apple Tea, 4 cl Absolut Kurant, "
215,Kioki Coffee,"NoneCoffee, 1/2 oz Brandy, 1 oz Kahlua, "
216,Kiwi Martini,"Garnish withKiwi, 1 1/2 ozVodka, 1 tspSugar Syrup, 1/2Kiwi, "
217,Kiss me Quick,"cubesIce, 8 cl Apple juice, 7 cl Schweppes Russchian, 2 cl Apfelkorn, 4 cl Cranberry vodka, "
218,Kool-Aid Shot,"NoneCranberry juice, 1 shot Triple sec, 1 shot Sloe gin, 1 shot Amaretto, 1 shot Vodka, "
219,Kool First Aid,"1/2 tsp Tropical Kool-Aid, 2 oz light 151 proof rum, "
220,Kentucky B And B,"1/2 oz Benedictine, 2 oz Bourbon, "
221,Kentucky Colonel,"1 twist of Lemon peel, 1/2 oz Benedictine, 3 oz Bourbon, "
222,Kool-Aid Slammer,"1/2 oz Vodka, 1/2 oz Grape Kool-Aid, "
226,Lunch Box,"1 oz Orange juice, 1 shot Amaretto, 3/4 bottle Beer, "
227,Lemon Drop,"Juice of 1 wedge Lemon, 1 1/2 shot Cointreau, 1 1/2 shot Vodka, "
228,Lemon Shot,"None151 proof rum, Bacardi Sugar,  wedge
Lemon, 1/2 oz Absolut Citron, 1/2 oz Galliano, "
229,Long vodka,"4 Ice, 1 dl Schweppes Tonic water, 4 dashes Angostura bitters, 1/2 Lime, 5 cl Vodka, "
233,Loch Lomond,"1 twist of Lemon peel, 1/2 oz Dry Vermouth, 1/2 oz Drambuie, 2 oz Scotch, "
234,London Town,"2 dashes Orange bitters, 1/2 oz Maraschino liqueur, 1 1/2 oz Gin, "
237,Limona Corona,"1 oz Bacardi Limon, 1 bottle Corona, "
238,Lord And Lady,"1/2 oz Tia maria, 1 1/2 oz Dark rum, "
239,Lady Love Fizz,"NoneCarbonated water, 1 Egg white, Juice of 1/2Lemon, 1 tsp Powdered sugar, 2 tsp Light cream, 2 oz Gin, "
240,Long Island Tea,"1 splash Coca-Cola, Juice of 1/2 Lemon, 1/2 oz Tequila, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Vodka, "
241,Lone Tree Cooler,"NoneLemon peel, NoneOrange spiral, NonePowdered sugar, NoneDry Vermouth, NoneGin, NoneCarbonated water, "
242,Lone Tree Cocktail,"1 1/2 oz Gin, 3/4 oz Sweet Vermouth, "
243,Lazy Coconut Paloma,"TopSoda Water, 75 mlGrapefruit Juice, 30 mlCoconut Liqueur, "
244,Long Island Iced Tea,"Twist of Lemon peel, 1 dash Coca-Cola, 1/2 oz Gin, 1/2 oz Light rum, 1/2 oz Tequila, 1/2 oz Vodka, "
245,Lemon Elderflower Spritzer,"TopFresh Lemon Juice, 1/3 cupSoda Water, 1 shotVodka, 2 tspElderflower cordial, "
248,Mojito,"NoneSoda water, 2-4 Mint, 2 tsp Sugar, Juice of 1 Lime, 2-3 oz Light rum, "
249,Mimosa,"2 oz Orange juice, Chilled Champagne, "
250,Mai Tai,"1 Cherry, 1 1/2 oz Sweet and sour, 1/2 oz Triple sec, 1/2 oz Orgeat syrup, 1 oz Light rum, "
251,Martini,"1 Olive, 1/3 oz Dry Vermouth, 1 2/3 oz Gin, "
252,Michelada,"DashSoy Sauce, DashWorcestershire Sauce, DashHot Sauce, 1 tblspLime Juice, 4 ozTomato Juice, 4 ozBeer, "
253,Manhattan,"1 twist of Orange peel, 1 Maraschino cherry, 2 or 3 Ice, dash Angostura bitters, 2 1/2 oz Blended Bourbon, 3/4 oz Sweet Vermouth, "
254,Margarita,"NoneSalt, 1 oz Lime juice, 1/2 oz Triple sec, 1 1/2 oz Tequila, "
255,Mint Julep,"2 tsp Water, 1 tsp Powdered sugar, 2 1/2 oz Bourbon, 4 fresh Mint, "
256,Mudslinger,"750 ml Pepsi Cola, 1 L Orange juice, 750 ml Southern Comfort, "
257,Martinez 2,"2 dashesAngostura Bitters, 1 tspMaraschino Liqueur, 1 1/2 ozSweet Vermouth, 1 1/2 ozGin, "
258,Moranguito,"1/5 Grenadine, 2/5 Tequila, 2/5 Absinthe, "
259,Miami Vice,"frozen Daiquiri mix, frozen Pina colada mix, 5 oz Bacardi 151 proof rum, "
260,Moscow Mule,"8 oz Ginger ale, 2 oz Lime juice, 2 oz Vodka, "
261,Mulled Wine,"1/4 cup Brandy, 750 ml Red wine, 1 Lemon peel, 2 Cinnamon, 12 Cloves, 1 cup Sugar, 3 cups Water, "
263,Munich Mule,"Choppedlemon, ChoppedCucumber, 10 clGinger Beer, 2 clLime Juice, 5 clGin, "
264,Mocha-Berry,"NoneWhipped cream, 2 tblsp Cocoa powder, 2 oz Chambord raspberry liqueur, 6 oz Coffee, "
