,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
10,501 Blue,,"None7-Up, NoneSour mix, NoneVodka, NoneBlueberry schnapps, NoneBlue Curacao, ",Mix equal amounts into a glass with ice.,Alcoholic,Ordinary Drink
11,57 Chevy with a White License Plate,,"1 oz Vodka, 1 oz white Creme de Cacao, ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Alcoholic,Cocktail
12,69 Special,,"0.75 oz Lemon juice, 4 oz 7-Up, 2 oz dry Gin, ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Alcoholic,Ordinary Drink
13,747,,"1/3 part Frangelico, 1/3 part Baileys irish cream, 1/3 part Kahlua, ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Alcoholic,Shot
14,747 Drink,,"TopSprite, 1 ozCranberry Juice, 1 ozRoses sweetened lime juice, 1 ozVodka, ","Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",Alcoholic,Cocktail
15,9 1/2 Weeks,,"1 oz Orange juice, 1 splash Strawberry liqueur, 1/2 oz Orange Curacao, 2 oz Absolut Citron, ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Alcoholic,Cocktail
16,A1,,"1/8 ShotGrenadine, 1/4 ShotLemon Juice, 1 Shot Grand Marnier, 1 3/4 shot Gin, ","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Alcoholic,Cocktail
17,ABC,,"1/3 Cognac, 1/3 Baileys irish cream, 1/3 Amaretto, ",Layered in a shot glass.,Alcoholic,Shot
18,Ace,,"1/2 FreshEgg White, 1/2 shotMilk, 1/2 shot Heavy cream, 1/2 shot Grenadine, 2 shots Gin, ",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Alcoholic,Cocktail
19,ACID,,"1 oz Wild Turkey, 1 oz Bacardi 151 proof rum, ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,Alcoholic,Shot
